transaction_id,timestamp,amount,currency,sender_acc,receiver_acc
ecb87a5a,2026-05-01 21:51,33904.04,USD,ACC_4963,ACC_8480
9d7f6677,2026-05-01 21:51,17966.75,USD,ACC_9591,ACC_6828
f1fd9fce,2026-05-01 21:51,31114.86,RUB,ACC_1565,ACC_6734
a10c14cb,2026-05-01 21:51,24775.28,USD,ACC_9630,ACC_7812
2bed68c1,2026-05-01 21:51,18143.83,EUR,ACC_5054,ACC_6714
7e00fc92,2026-05-01 21:51,28169.40,EUR,ACC_5871,ACC_1670
dd095099,2026-05-01 21:51,5730.91,EUR,ACC_4819,ACC_7339
af71e05c,2026-05-01 21:51,32193.72,RUB,ACC_6672,ACC_2428
9f699979,2026-05-01 21:51,46113.11,RUB,ACC_7553,ACC_8723
9abe93f2,2026-05-01 21:51,32889.17,EUR,ACC_4493,ACC_7802
c548c60c,2026-05-01 21:51,45612.15,RUB,ACC_6003,ACC_2082
8e03c16d,2026-05-01 21:51,17708.30,EUR,ACC_2691,ACC_6998
60cf14b4,2026-05-01 21:51,17168.50,RUB,ACC_7852,ACC_1716
0ccf8d32,2026-05-01 21:51,25483.54,EUR,ACC_4258,ACC_3356
4348b306,2026-05-01 21:51,17288.11,USD,ACC_8916,ACC_4957
4f50c174,2026-05-01 21:51,39691.57,RUB,ACC_9495,ACC_1109
293ddfe3,2026-05-01 21:51,40441.71,EUR,ACC_9573,ACC_3929
08771028,2026-05-01 21:51,19422.74,EUR,ACC_6099,ACC_7061
262af5e9,2026-05-01 21:51,7781.00,RUB,ACC_4658,ACC_1775
2d8d1ee0,2026-05-01 21:51,8275.39,USD,ACC_4481,ACC_2675
de77c0db,2026-05-01 21:51,22684.62,RUB,ACC_2440,ACC_6883
44266e7e,2026-05-01 21:51,14441.18,EUR,ACC_6474,ACC_4730
d69babd2,2026-05-01 21:51,24133.07,RUB,ACC_2550,ACC_3523
c5212afa,2026-05-01 21:51,26870.61,EUR,ACC_9733,ACC_8780
b7739f13,2026-05-01 21:51,8939.78,EUR,ACC_6995,ACC_2224
8d06f163,2026-05-01 21:51,28237.13,USD,ACC_8210,ACC_4756
2f65851c,2026-05-01 21:51,33926.08,USD,ACC_8053,ACC_8460
61beb79f,2026-05-01 21:51,22602.38,RUB,ACC_4983,ACC_8138
c81f939a,2026-05-01 21:51,27190.49,RUB,ACC_6108,ACC_6679
de1836b8,2026-05-01 21:51,684.99,USD,ACC_2816,ACC_8965
829c7669,2026-05-01 21:51,14456.11,USD,ACC_6167,ACC_8794
14d91a97,2026-05-01 21:51,40411.42,USD,ACC_1293,ACC_6932
09b098da,2026-05-01 21:51,33541.47,USD,ACC_1383,ACC_2956
22ce4c59,2026-05-01 21:51,33563.92,USD,ACC_3084,ACC_2180
258934d9,2026-05-01 21:51,24806.52,RUB,ACC_7116,ACC_2389
57e55e0b,2026-05-01 21:51,26973.88,RUB,ACC_7511,ACC_8697
0fceeba5,2026-05-01 21:51,13523.71,EUR,ACC_6411,ACC_3329
addc0761,2026-05-01 21:51,41383.54,RUB,ACC_8199,ACC_4544
62675f6b,2026-05-01 21:51,15822.88,RUB,ACC_9179,ACC_3728
c4cee595,2026-05-01 21:51,38746.20,USD,ACC_6646,ACC_4667
3973cb76,2026-05-01 21:51,13899.84,USD,ACC_8631,ACC_2117
d9c47b2e,2026-05-01 21:51,2233.61,USD,ACC_3286,ACC_3060
5f2b0bea,2026-05-01 21:51,2369.14,USD,ACC_9657,ACC_6968
77e45c33,2026-05-01 21:51,15024.55,USD,ACC_7320,ACC_1827
932ab98b,2026-05-01 21:51,45933.33,EUR,ACC_4016,ACC_4444
6b652c2f,2026-05-01 21:51,49350.46,EUR,ACC_8874,ACC_4692
7f5a6f5a,2026-05-01 21:51,30721.15,EUR,ACC_3912,ACC_5590
d6d66f1e,2026-05-01 21:51,33361.36,RUB,ACC_8487,ACC_9938
547e58f6,2026-05-01 21:51,30737.56,EUR,ACC_4310,ACC_9710
04bb7782,2026-05-01 21:51,9678.56,EUR,ACC_4669,ACC_4971
ce0a0dca,2026-05-01 21:51,28898.94,USD,ACC_8124,ACC_3458
5590179d,2026-05-01 21:51,49636.51,USD,ACC_5825,ACC_8930
28839b42,2026-05-01 21:51,47116.59,USD,ACC_5663,ACC_6871
461b5850,2026-05-01 21:51,42991.15,RUB,ACC_6471,ACC_4884
b768b320,2026-05-01 21:51,29615.04,USD,ACC_3144,ACC_2468
0372faed,2026-05-01 21:51,46668.39,EUR,ACC_3300,ACC_9458
c7e13795,2026-05-01 21:51,33146.75,RUB,ACC_4740,ACC_5610
33b508b3,2026-05-01 21:51,17695.19,RUB,ACC_4607,ACC_9794
0996cc27,2026-05-01 21:51,35328.35,EUR,ACC_5720,ACC_3280
8c2c3766,2026-05-01 21:51,36309.93,RUB,ACC_9377,ACC_8035
1ba68b6c,2026-05-01 21:51,13090.20,EUR,ACC_9016,ACC_4080
6c5dd399,2026-05-01 21:51,19596.48,EUR,ACC_2425,ACC_6812
136b1293,2026-05-01 21:51,36849.30,EUR,ACC_7730,ACC_5272
ef8efe7b,2026-05-01 21:51,38158.18,USD,ACC_3365,ACC_9336
e576a277,2026-05-01 21:51,41514.33,USD,ACC_4826,ACC_2350
b3e10c71,2026-05-01 21:51,14550.10,RUB,ACC_5849,ACC_8600
f4336386,2026-05-01 21:51,7449.19,RUB,ACC_5022,ACC_9290
57b9409f,2026-05-01 21:51,1385.56,EUR,ACC_4062,ACC_2465
f90bbed4,2026-05-01 21:51,30237.99,EUR,ACC_2477,ACC_9573
91045a51,2026-05-01 21:51,20470.97,USD,ACC_1289,ACC_9771
34d3d9bb,2026-05-01 21:51,17061.51,USD,ACC_4440,ACC_6850
bb65b597,2026-05-01 21:51,6586.96,EUR,ACC_5770,ACC_6732
122dbade,2026-05-01 21:51,35836.20,RUB,ACC_2453,ACC_5828
f2ccfaf1,2026-05-01 21:51,30824.45,USD,ACC_2952,ACC_2864
10cac5c1,2026-05-01 21:51,14851.74,EUR,ACC_3668,ACC_4628
07cb6482,2026-05-01 21:51,44792.39,RUB,ACC_3133,ACC_9865
1f17de57,2026-05-01 21:51,26091.55,RUB,ACC_3095,ACC_4200
bc2cb1d2,2026-05-01 21:51,2678.19,EUR,ACC_2563,ACC_9751
104d1d8c,2026-05-01 21:51,13275.62,RUB,ACC_4362,ACC_3659
1c5c742a,2026-05-01 21:51,34930.43,USD,ACC_7907,ACC_7875
51e3f904,2026-05-01 21:51,3496.95,RUB,ACC_1700,ACC_7724
92fdefed,2026-05-01 21:51,23687.78,USD,ACC_2547,ACC_9106
ee169424,2026-05-01 21:51,4365.56,EUR,ACC_8742,ACC_4604
8e7a30c7,2026-05-01 21:51,42423.06,RUB,ACC_4454,ACC_2988
fc9e8c60,2026-05-01 21:51,15244.96,RUB,ACC_3981,ACC_7377
08e2dec9,2026-05-01 21:51,41250.06,EUR,ACC_8022,ACC_7122
7aa3a7c4,2026-05-01 21:51,353.63,EUR,ACC_9699,ACC_7429
23971c40,2026-05-01 21:51,46477.02,RUB,ACC_2544,ACC_9512
4baef050,2026-05-01 21:51,44974.88,RUB,ACC_6137,ACC_6080
843f2302,2026-05-01 21:51,8240.97,USD,ACC_1556,ACC_8844
94e67866,2026-05-01 21:51,38031.60,EUR,ACC_4516,ACC_6840
78ccc880,2026-05-01 21:51,33720.55,RUB,ACC_1053,ACC_8666
5b60cf87,2026-05-01 21:51,41797.63,USD,ACC_9227,ACC_2553
f35bd036,2026-05-01 21:51,28399.84,EUR,ACC_1593,ACC_9131
ad3b1f4f,2026-05-01 21:51,35666.83,USD,ACC_8561,ACC_7729
8e56bf16,2026-05-01 21:51,39555.86,RUB,ACC_7857,ACC_6163
7beba256,2026-05-01 21:51,31354.02,RUB,ACC_5344,ACC_6570
4ac5e592,2026-05-01 21:51,44979.74,RUB,ACC_5746,ACC_1214
5ed1e335,2026-05-01 21:51,22808.08,RUB,ACC_5663,ACC_1477
afde3875,2026-05-01 21:51,25608.42,EUR,ACC_3672,ACC_1398
36929831,2026-05-01 21:51,19815.13,USD,ACC_8399,ACC_1203
4bd1ffc2,2026-05-01 21:51,5779.77,EUR,ACC_9897,ACC_8427
b9119293,2026-05-01 21:51,5146.52,RUB,ACC_7103,ACC_4530
bd748a05,2026-05-01 21:51,24598.92,RUB,ACC_8430,ACC_9066
3f3d37f6,2026-05-01 21:51,41423.16,RUB,ACC_4145,ACC_1099
7bfb2a79,2026-05-01 21:51,49422.26,RUB,ACC_7116,ACC_1281
a635a78d,2026-05-01 21:51,12508.71,EUR,ACC_2389,ACC_1389
6a6e48e5,2026-05-01 21:51,22153.36,RUB,ACC_4895,ACC_6625
8fdf91b9,2026-05-01 21:51,30056.12,USD,ACC_9827,ACC_1538
5dfb285e,2026-05-01 21:51,5909.64,RUB,ACC_1383,ACC_7418
cf225ce8,2026-05-01 21:51,17592.63,EUR,ACC_2978,ACC_1070
d8c2e9a7,2026-05-01 21:51,25747.08,EUR,ACC_6395,ACC_3076
77b14385,2026-05-01 21:51,23330.58,RUB,ACC_2485,ACC_8292
08c4ad91,2026-05-01 21:51,9621.12,RUB,ACC_7735,ACC_3534
dd8300d6,2026-05-01 21:51,24139.04,EUR,ACC_6672,ACC_7222
bc251bc2,2026-05-01 21:51,8837.29,EUR,ACC_9786,ACC_3501
2a81ba02,2026-05-01 21:51,44152.74,RUB,ACC_2306,ACC_9233
e8116d7b,2026-05-01 21:51,27912.95,RUB,ACC_4313,ACC_5583
5d05cfda,2026-05-01 21:51,8265.19,USD,ACC_5332,ACC_2712
417b2ba3,2026-05-01 21:51,7748.99,EUR,ACC_7177,ACC_8322
7e708f58,2026-05-01 21:51,33974.22,EUR,ACC_8349,ACC_9185
734b8abb,2026-05-01 21:51,10724.86,EUR,ACC_5954,ACC_2066
1eac7ad3,2026-05-01 21:51,10561.97,RUB,ACC_2472,ACC_3396
52da9544,2026-05-01 21:51,1445.28,USD,ACC_2218,ACC_6925
e1f92fbe,2026-05-01 21:51,37983.01,RUB,ACC_4597,ACC_7742
2c8c20e9,2026-05-01 21:51,8679.67,USD,ACC_4982,ACC_9821
2208c4a9,2026-05-01 21:51,7212.57,RUB,ACC_5714,ACC_7377
4212da97,2026-05-01 21:51,31471.35,EUR,ACC_8641,ACC_6267
bb18d7b8,2026-05-01 21:51,25694.47,USD,ACC_3948,ACC_8317
13907ed9,2026-05-01 21:51,4597.28,EUR,ACC_2011,ACC_2088
77ea2b6e,2026-05-01 21:51,47225.66,USD,ACC_5557,ACC_4333
88cb20e6,2026-05-01 21:51,39598.46,RUB,ACC_7474,ACC_3358
4a959d60,2026-05-01 21:51,14195.64,EUR,ACC_6235,ACC_7650
3dfe0dc0,2026-05-01 21:51,32124.40,RUB,ACC_5493,ACC_9997
84e4190a,2026-05-01 21:51,39186.27,USD,ACC_1301,ACC_4087
fe55d64a,2026-05-01 21:51,20838.31,EUR,ACC_3541,ACC_6004
883a96e1,2026-05-01 21:51,48799.95,EUR,ACC_6308,ACC_4492
bd3125aa,2026-05-01 21:51,22496.98,EUR,ACC_5716,ACC_3146
6bc6e150,2026-05-01 21:51,8741.59,USD,ACC_2847,ACC_6423
c8b18b0f,2026-05-01 21:51,32395.18,EUR,ACC_6840,ACC_8523
6a567d75,2026-05-01 21:51,20064.66,RUB,ACC_4492,ACC_4975
c5ae9990,2026-05-01 21:51,15380.12,USD,ACC_5476,ACC_1616
36ba3b17,2026-05-01 21:51,36385.29,RUB,ACC_5088,ACC_1305
3fc1514a,2026-05-01 21:51,31222.35,EUR,ACC_9812,ACC_5013
0ecc1b06,2026-05-01 21:51,30451.25,RUB,ACC_2204,ACC_2610
91216c77,2026-05-01 21:51,21817.64,EUR,ACC_7525,ACC_5206
32cee449,2026-05-01 21:51,20457.37,RUB,ACC_8606,ACC_3640
5bf5cda5,2026-05-01 21:51,36840.39,EUR,ACC_5367,ACC_3480
0b0200fd,2026-05-01 21:51,24639.52,USD,ACC_6775,ACC_6778
b6e54228,2026-05-01 21:51,24233.18,USD,ACC_8561,ACC_7955
f124d5e2,2026-05-01 21:51,43587.95,USD,ACC_8403,ACC_7787
a0168836,2026-05-01 21:51,23951.14,USD,ACC_9671,ACC_6432
08af4a9a,2026-05-01 21:51,15615.26,RUB,ACC_9260,ACC_3830
1a5d8efe,2026-05-01 21:51,42889.50,RUB,ACC_2828,ACC_1706
fab50cdf,2026-05-01 21:51,26793.71,RUB,ACC_7608,ACC_9755
515a90a4,2026-05-01 21:51,10405.93,RUB,ACC_8087,ACC_5539
e75f67a3,2026-05-01 21:51,40081.01,USD,ACC_5300,ACC_2362
c4699ece,2026-05-01 21:51,45021.28,RUB,ACC_4072,ACC_6613
7a46c55c,2026-05-01 21:51,41232.95,USD,ACC_5533,ACC_6174
1ae8cd59,2026-05-01 21:51,44147.18,RUB,ACC_6391,ACC_2875
28a2438e,2026-05-01 21:51,31291.35,RUB,ACC_7995,ACC_7194
2c899308,2026-05-01 21:51,1977.94,RUB,ACC_5813,ACC_9091
ccd0d487,2026-05-01 21:51,19312.93,USD,ACC_8459,ACC_8285
821ff34c,2026-05-01 21:51,47990.84,EUR,ACC_4581,ACC_4167
8d679d46,2026-05-01 21:51,36691.36,USD,ACC_7264,ACC_9836
0884c172,2026-05-01 21:51,41705.95,EUR,ACC_7167,ACC_8216
f4c98f74,2026-05-01 21:51,37417.38,EUR,ACC_1269,ACC_7289
7f5b57c2,2026-05-01 21:51,44547.86,USD,ACC_3748,ACC_8017
14b9d71e,2026-05-01 21:51,46584.62,EUR,ACC_3179,ACC_6676
ee81420b,2026-05-01 21:51,25143.93,RUB,ACC_3608,ACC_2114
9958437a,2026-05-01 21:51,2943.10,RUB,ACC_5859,ACC_4876
026db458,2026-05-01 21:51,20392.64,RUB,ACC_5939,ACC_6936
71a52b73,2026-05-01 21:51,16881.02,EUR,ACC_3889,ACC_8450
46c11963,2026-05-01 21:51,33936.45,USD,ACC_2704,ACC_4608
a57ed389,2026-05-01 21:51,1422.66,USD,ACC_1206,ACC_5617
b2fd537e,2026-05-01 21:51,25056.93,USD,ACC_4964,ACC_4017
1927c4b7,2026-05-01 21:51,48716.36,RUB,ACC_1333,ACC_4875
e9df89a1,2026-05-01 21:51,47759.99,USD,ACC_3040,ACC_2602
40bed393,2026-05-01 21:51,3380.52,RUB,ACC_4581,ACC_5320
6b8ec825,2026-05-01 21:51,2813.66,EUR,ACC_8739,ACC_9055
b6ce1fd4,2026-05-01 21:51,44638.68,EUR,ACC_3449,ACC_8869
1e78bcb3,2026-05-01 21:51,30815.35,RUB,ACC_5807,ACC_1679
0ea22c49,2026-05-01 21:51,48384.36,EUR,ACC_2268,ACC_9697
a896502c,2026-05-01 21:51,45049.11,EUR,ACC_5452,ACC_5527
b03fba97,2026-05-01 21:51,18885.42,RUB,ACC_1614,ACC_4509
8fe128ae,2026-05-01 21:51,20503.24,EUR,ACC_1669,ACC_9624
8045d1a8,2026-05-01 21:51,37422.75,RUB,ACC_6692,ACC_2284
7e426120,2026-05-01 21:51,29473.02,USD,ACC_8730,ACC_1666
15d045dc,2026-05-01 21:51,3289.02,RUB,ACC_3264,ACC_4219
282fa5ca,2026-05-01 21:51,407.62,EUR,ACC_1352,ACC_3796
bde8aca2,2026-05-01 21:51,20084.54,USD,ACC_3496,ACC_2090
00802334,2026-05-01 21:51,47928.60,EUR,ACC_7676,ACC_3838
8905e435,2026-05-01 21:51,46988.39,USD,ACC_9537,ACC_8235
fbde00d8,2026-05-01 21:51,28622.72,RUB,ACC_4596,ACC_5985
af134277,2026-05-01 21:51,6758.04,USD,ACC_2036,ACC_7612
4473d15f,2026-05-01 21:51,14531.44,EUR,ACC_2341,ACC_4920
39c6bc62,2026-05-01 21:51,19926.69,USD,ACC_2502,ACC_4976
8d2be00d,2026-05-01 21:51,4011.03,EUR,ACC_7424,ACC_2092
60adaa30,2026-05-01 21:51,49122.37,RUB,ACC_4128,ACC_2784
9d378a50,2026-05-01 21:51,43079.55,RUB,ACC_7650,ACC_9638
6173da69,2026-05-01 21:51,18515.24,USD,ACC_9675,ACC_8748
c3c6ac34,2026-05-01 21:51,49699.94,RUB,ACC_7295,ACC_6877
1ef485b3,2026-05-01 21:51,8899.20,EUR,ACC_3345,ACC_3443
ad780f15,2026-05-01 21:51,37654.35,RUB,ACC_1400,ACC_7233
bb3fdd15,2026-05-01 21:51,23576.74,RUB,ACC_8463,ACC_4583
41b1d08d,2026-05-01 21:51,46285.53,EUR,ACC_7119,ACC_8531
2f234feb,2026-05-01 21:51,19412.47,RUB,ACC_3773,ACC_6666
38022964,2026-05-01 21:51,25744.73,EUR,ACC_4184,ACC_4165
80d37fa6,2026-05-01 21:51,13333.16,USD,ACC_5713,ACC_6998
1dedb4f5,2026-05-01 21:51,44676.35,EUR,ACC_3909,ACC_1372
0b057373,2026-05-01 21:51,44189.72,USD,ACC_7705,ACC_6313
244abc8a,2026-05-01 21:51,16487.56,RUB,ACC_9120,ACC_7083
131a9991,2026-05-01 21:51,11848.76,EUR,ACC_9058,ACC_5772
28cd47e3,2026-05-01 21:51,5740.75,EUR,ACC_8352,ACC_8014
1ac521a3,2026-05-01 21:51,17033.15,RUB,ACC_4533,ACC_8648
b107fc38,2026-05-01 21:51,10718.24,RUB,ACC_8366,ACC_6924
9324245b,2026-05-01 21:51,49109.06,USD,ACC_1884,ACC_5967
9af03a50,2026-05-01 21:51,256.21,EUR,ACC_2418,ACC_3110
a711b666,2026-05-01 21:51,47519.48,USD,ACC_2826,ACC_2104
62982c60,2026-05-01 21:51,40659.40,USD,ACC_6450,ACC_8306
703c28f5,2026-05-01 21:51,39545.98,USD,ACC_3653,ACC_9661
c248c713,2026-05-01 21:51,25114.67,USD,ACC_6896,ACC_2320
947a33d0,2026-05-01 21:51,28073.57,RUB,ACC_9976,ACC_1323
aacd3028,2026-05-01 21:51,30260.14,EUR,ACC_6035,ACC_8366
0670f229,2026-05-01 21:51,18189.65,EUR,ACC_6413,ACC_9027
906b485e,2026-05-01 21:51,24761.84,RUB,ACC_4176,ACC_2548
27e23fa7,2026-05-01 21:51,16830.02,EUR,ACC_8039,ACC_3967
376f5ef9,2026-05-01 21:51,39859.53,RUB,ACC_2796,ACC_9997
6df5cdf8,2026-05-01 21:51,43798.29,RUB,ACC_6391,ACC_3209
669be6d7,2026-05-01 21:51,47592.65,USD,ACC_6553,ACC_8970
57eb8b5f,2026-05-01 21:51,30313.54,RUB,ACC_5022,ACC_6618
ed903800,2026-05-01 21:51,3704.97,EUR,ACC_2873,ACC_2230
1e87ce29,2026-05-01 21:51,23366.69,USD,ACC_5421,ACC_5982
fd9fe2f4,2026-05-01 21:51,22475.44,EUR,ACC_4893,ACC_7305
932cbb13,2026-05-01 21:51,14541.85,EUR,ACC_9176,ACC_8884
b9bb03c7,2026-05-01 21:51,41760.57,EUR,ACC_4142,ACC_8663
2f7657e0,2026-05-01 21:51,37388.67,EUR,ACC_7253,ACC_3933
ce9b998f,2026-05-01 21:51,49254.59,RUB,ACC_7483,ACC_5924
47d52c87,2026-05-01 21:51,1838.12,RUB,ACC_1594,ACC_1080
1343f79d,2026-05-01 21:51,28473.80,EUR,ACC_2756,ACC_8286
1512ae09,2026-05-01 21:51,10707.63,EUR,ACC_6202,ACC_9884
be377f4b,2026-05-01 21:51,24157.36,RUB,ACC_2192,ACC_2264
583f9858,2026-05-01 21:51,37115.37,USD,ACC_8999,ACC_7694
a6810bb9,2026-05-01 21:51,47551.50,EUR,ACC_1383,ACC_7312
57dec8eb,2026-05-01 21:51,40531.11,RUB,ACC_4734,ACC_4097
5b73cf93,2026-05-01 21:51,32890.10,USD,ACC_1622,ACC_9526
f3e596d1,2026-05-01 21:51,7124.97,USD,ACC_8017,ACC_5578
ddc6f058,2026-05-01 21:51,14114.25,RUB,ACC_2322,ACC_3972
d3db91b7,2026-05-01 21:51,41684.92,RUB,ACC_8877,ACC_8147
f9dca102,2026-05-01 21:51,10577.64,RUB,ACC_1470,ACC_9076
e4af868f,2026-05-01 21:51,33219.48,USD,ACC_8983,ACC_5848
d930d622,2026-05-01 21:51,40005.95,USD,ACC_4350,ACC_9883
dab74251,2026-05-01 21:51,44721.56,RUB,ACC_8048,ACC_3024
1b5c5681,2026-05-01 21:51,33532.94,RUB,ACC_8730,ACC_4021
85e94748,2026-05-01 21:51,37681.72,USD,ACC_9604,ACC_7848
0aeb1a8d,2026-05-01 21:51,38389.89,EUR,ACC_8725,ACC_1532
3f5d83f0,2026-05-01 21:51,5596.97,EUR,ACC_8479,ACC_3065
474a1c82,2026-05-01 21:51,24711.17,USD,ACC_2522,ACC_7440
fd740b9d,2026-05-01 21:51,9811.55,EUR,ACC_4469,ACC_4350
df19ddf8,2026-05-01 21:51,1523.78,USD,ACC_1324,ACC_3331
78a24193,2026-05-01 21:51,6069.14,RUB,ACC_8606,ACC_7329
ffc7202b,2026-05-01 21:51,26348.59,EUR,ACC_9176,ACC_6373
aaa4261a,2026-05-01 21:51,5341.87,RUB,ACC_3537,ACC_4453
59cce550,2026-05-01 21:51,2574.60,USD,ACC_3499,ACC_2519
2ffaa727,2026-05-01 21:51,26423.69,EUR,ACC_8048,ACC_5965
56065474,2026-05-01 21:51,47906.96,RUB,ACC_5677,ACC_2604
32b50ad1,2026-05-01 21:51,1609.64,USD,ACC_4514,ACC_6126
b60ff1a6,2026-05-01 21:51,10273.19,USD,ACC_6418,ACC_6094
3f4254d2,2026-05-01 21:51,17231.53,RUB,ACC_7470,ACC_4603
6508bc0c,2026-05-01 21:51,17946.50,RUB,ACC_5400,ACC_5078
b93fcbac,2026-05-01 21:51,37503.93,USD,ACC_5238,ACC_1401
a38ff2d7,2026-05-01 21:51,29050.25,RUB,ACC_7953,ACC_7075
75859a4e,2026-05-01 21:51,2059.49,EUR,ACC_6349,ACC_5324
e6621bbd,2026-05-01 21:51,30070.32,USD,ACC_2831,ACC_9850
27d2e567,2026-05-01 21:51,1241.95,EUR,ACC_7569,ACC_9245
51ba3c3c,2026-05-01 21:51,46113.32,USD,ACC_6233,ACC_8483
2dc2cc2a,2026-05-01 21:51,44710.18,USD,ACC_9487,ACC_5655
73905a92,2026-05-01 21:51,9497.97,EUR,ACC_4862,ACC_6962
35a661d9,2026-05-01 21:51,33758.58,EUR,ACC_5254,ACC_6924
09fd2cbb,2026-05-01 21:51,14959.36,EUR,ACC_7326,ACC_9988
fa437c63,2026-05-01 21:51,37163.30,RUB,ACC_8264,ACC_3353
97b2c066,2026-05-01 21:51,10179.97,RUB,ACC_6669,ACC_9075
45f30ee4,2026-05-01 21:51,40039.26,EUR,ACC_5195,ACC_1430
7b133355,2026-05-01 21:51,2030.04,RUB,ACC_4808,ACC_9828
8851704a,2026-05-01 21:51,46937.93,EUR,ACC_6538,ACC_9113
01ab96be,2026-05-01 21:51,20716.77,RUB,ACC_1574,ACC_8930
3293badb,2026-05-01 21:51,9539.00,USD,ACC_6268,ACC_8614
25ff5e6f,2026-05-01 21:51,33227.79,USD,ACC_5046,ACC_4518
3bc7913b,2026-05-01 21:51,31785.07,USD,ACC_8757,ACC_3688
84062da0,2026-05-01 21:51,920.99,USD,ACC_7475,ACC_3012
5a979e73,2026-05-01 21:51,9970.36,RUB,ACC_1392,ACC_7087
46822540,2026-05-01 21:51,33035.21,EUR,ACC_6157,ACC_6540
402e0675,2026-05-01 21:51,31823.28,EUR,ACC_3916,ACC_6815
3edc1601,2026-05-01 21:51,41150.76,EUR,ACC_2045,ACC_3811
90ebabe9,2026-05-01 21:51,24287.26,USD,ACC_5829,ACC_2325
603f5e28,2026-05-01 21:51,18647.06,RUB,ACC_8164,ACC_6755
7a67ca77,2026-05-01 21:51,41218.03,USD,ACC_1434,ACC_8259
458a1379,2026-05-01 21:51,27115.57,USD,ACC_3989,ACC_3966
779615c3,2026-05-01 21:51,42071.09,USD,ACC_1925,ACC_5206
93f43736,2026-05-01 21:51,32888.68,RUB,ACC_8960,ACC_4571
01184d31,2026-05-01 21:51,36614.21,USD,ACC_1143,ACC_9693
60b80998,2026-05-01 21:51,27985.98,RUB,ACC_3509,ACC_5929
